"08/09/2012","-9.97","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"08/09/2012","-10.14","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"08/08/2012","-9.72","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"08/07/2012","-178.29","*","","ENTERPRISE RENT-A-CAR BALTIMORE MD"
"08/03/2012","-11.99","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"08/02/2012","-0.99","*","","Amazon Services-Kindle 866-321-8851 WA"
"08/01/2012","-120.00","*","","BMW OF TOWSON CCRC PARKVILLE MD"
"07/31/2012","-14.55","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"07/29/2012","-44.52","*","","BEADAZZLED BALTIMORE MD"
"07/28/2012","-88.00","*","","PEGASUS PUBLISHING WHITEWRIGHT TX"
"07/28/2012","-222.60","*","","SILVER LEAF DESIGNS MCKINNEY TX"
"07/28/2012","-174.00","*","","RAKUEN FASHION LLC BALTIMORE COUMD"
"07/27/2012","-5.85","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"07/27/2012","-200.00","*","","EB *FETFEST 2012 EVENTBRITE.COCA"
"07/26/2012","-200.00","*","","EB *FETFEST 2012 EVENTBRITE.COCA"
"07/25/2012","1000.00","*","","PAYMENT - THANK YOU"
"07/25/2012","-80.00","*","","OTAKON ONLINE 215-8961967 PA"
"07/25/2012","-11.28","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"07/25/2012","-10.41","*","","APL*APPLE ITUNES STORE 866-712-7753 CA"
"07/24/2012","-499.94","*","","INTEREST CHARGE ON PURCHASES"
"07/24/2012","-35.00","*","","LATE FEE"
"07/23/2012","-480.00","*","","OTAKON ONLINE 215-8961967 PA"
"07/22/2012","-245.00","*","","THE MERLYS COLLECTION, L ROSWELL GA"
"07/22/2012","-80.25","*","","NANETTE DISTRIBUTOR IN ELM HURST NY"
"07/19/2012","-7.99","*","","NETFLIX.COM NETFLIX.COM CA"
"07/19/2012","-30.44","*","","Amazon.com AMZN.COM/BILLWA"
"07/17/2012","-142.95","*","","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA"
"07/16/2012","-10.88","*","","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA"
"07/16/2012","-38.00","*","","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA"
"07/16/2012","-67.58","*","","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA"
"07/16/2012","-24.69","*","","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA"
"07/14/2012","-160.83","*","","ZONE, THE BALTIMORE MD"
